Date,Confirmed,Population,mavg
1/22/20,555,7710663140,555.00
1/23/20,654,7710663140,654.00
1/24/20,941,7710663140,941.00
1/25/20,1434,7710663140,1434.00
1/26/20,2118,7710663140,1434.00
1/27/20,2927,7710663140,1434.00
1/28/20,5578,7710663140,2029.57
1/29/20,6166,7710663140,2831.14
1/30/20,8234,7710663140,3914.00
1/31/20,9927,7710663140,5197.71
2/1/20,12038,7710663140,6712.57
2/2/20,16787,7710663140,8808.14
2/3/20,19887,7710663140,11231.00
2/4/20,23898,7710663140,13848.14
2/5/20,27643,7710663140,16916.29
2/6/20,30802,7710663140,20140.29
2/7/20,34334,7710663140,23627.00
2/8/20,37068,7710663140,27202.71
2/9/20,40095,7710663140,30532.43
2/10/20,42633,7710663140,33781.86
2/11/20,44675,7710663140,36750.00
2/12/20,45053,7710663140,39237.14
2/13/20,60206,7710663140,43437.71
2/14/20,66690,7710663140,48060.00
2/15/20,68765,7710663140,52588.14
2/16/20,70879,7710663140,56985.86
2/17/20,72815,7710663140,61297.57
2/18/20,74609,7710663140,65573.86
2/19/20,75030,7710663140,69856.29
2/20/20,75577,7710663140,72052.14
2/21/20,76206,7710663140,73411.57
2/22/20,77967,7710663140,74726.14
2/23/20,78288,7710663140,75784.57
2/24/20,78852,7710663140,76647.00
2/25/20,79705,7710663140,77375.00
2/26/20,80668,7710663140,78180.43
2/27/20,82032,7710663140,79102.57
2/28/20,83409,7710663140,80131.57
2/29/20,85304,7710663140,81179.71
3/1/20,87681,7710663140,82521.57
3/2/20,89655,7710663140,84064.86
3/3/20,92232,7710663140,85854.43
3/4/20,94526,7710663140,87834.14
3/5/20,97317,7710663140,90017.71
3/6/20,101260,7710663140,92567.86
3/7/20,105291,7710663140,95423.14
3/8/20,109241,7710663140,98503.14
3/9/20,113141,7710663140,101858.29
3/10/20,118164,7710663140,105562.86
3/11/20,125824,7710663140,110034.00
3/12/20,131574,7710663140,114927.86
3/13/20,145967,7710663140,121314.57
3/14/20,157044,7710663140,128707.86
3/15/20,168181,7710663140,137127.86
3/16/20,182812,7710663140,147080.86
3/17/20,198603,7710663140,158572.14
3/18/20,218153,7710663140,171762.00
3/19/20,246027,7710663140,188112.43
3/20/20,275574,7710663140,206627.71
3/21/20,307787,7710663140,228162.43
3/22/20,341111,7710663140,252866.71
3/23/20,383215,7710663140,281495.71
3/24/20,424282,7710663140,313735.57
3/25/20,475009,7710663140,350429.29
3/26/20,537878,7710663140,392122.29
3/27/20,602173,7710663140,438779.29
3/28/20,669642,7710663140,490472.86
3/29/20,729169,7710663140,545909.71
3/30/20,793656,7710663140,604544.14
3/31/20,869968,7710663140,668213.57
4/1/20,946047,7710663140,735504.71
4/2/20,1027307,7710663140,805423.14
4/3/20,1110347,7710663140,878019.43
4/4/20,1190633,7710663140,952446.71
4/5/20,1262254,7710663140,1028601.71
4/6/20,1334843,7710663140,1105914.14
4/7/20,1411630,7710663140,1183294.43
4/8/20,1495354,7710663140,1261766.86
