Country,Date,Confirmed,Deaths,Lat,Long,Population,Recovered,Code
Afghanistan,7/25/20,36036,1248,33.93911,67.709953,38928341,24793,AFG
North Macedonia,7/25/20,9934,460,41.6086,21.7453,2083380,5357,MKD
France,7/25/20,206334,30081,46.2276,2.2137,65273512,71566,FRA
Norway,7/25/20,9111,255,60.472,8.4689,5421242,8674,NOR
Oman,7/25/20,74858,371,21.512583,55.923255,5106622,54061,OMN
Pakistan,7/25/20,273113,5822,30.3753,69.3451,220892331,237434,PAK
Panama,7/25/20,58864,1275,8.538,-80.7821,4314768,33428,PAN
Gabon,7/25/20,6984,49,-0.8037,11.6094,2225728,4463,GAB
Gambia,7/25/20,277,6,13.4432,-15.3101,2416664,60,GMB
Georgia,7/25/20,1117,16,42.3154,43.3569,3989175,917,GEO
Germany,7/25/20,206278,9124,51.165691,10.451526,83783945,189919,DEU
Albania,7/25/20,4637,134,41.1533,20.1683,2877800,2637,ALB
Algeria,7/25/20,26764,1146,28.0339,1.6596,43851043,18076,DZA
Andorra,7/25/20,897,52,42.5063,1.5218,77265,803,AND
Angola,7/25/20,916,39,-11.2027,17.8739,32866268,242,AGO
Ghana,7/25/20,31851,161,7.9465,-1.0232,31072945,28438,GHA
Greece,7/25/20,4166,201,39.0742,21.8243,10423056,1374,GRC
Guatemala,7/25/20,44492,1699,15.7835,-90.2308,17915567,31045,GTM
Guinea,7/25/20,6927,42,9.9456,-9.6966,13132792,6098,GIN
Guyana,7/25/20,360,20,4.860416,-58.93018,786559,180,GUY
Haiti,7/25/20,7297,157,18.9712,-72.2852,11402533,4365,HTI
Holy See,7/25/20,12,0,41.9029,12.4534,809,12,VAT
Antigua and Barbuda,7/25/20,82,3,17.0608,-61.7964,97928,60,ATG
Argentina,7/25/20,158334,2893,-38.4161,-63.6167,45195777,68022,ARG
Armenia,7/25/20,36996,700,40.0691,45.0382,2963234,26243,ARM
Australia,7/25/20,14403,155,-25,133,25459700,9019,AUS
Austria,7/25/20,20338,712,47.5162,14.5501,9006400,18124,AUT
Azerbaijan,7/25/20,29633,408,40.1431,47.5769,10139175,22082,AZE
Bahamas,7/25/20,326,11,25.025885,-78.035889,393248,91,BHS
Papua New Guinea,7/25/20,39,0,-6.314993,143.95555,8947027,11,PNG
Paraguay,7/25/20,4328,40,-23.4425,-58.4438,7132530,2679,PRY
Peru,7/25/20,375961,17843,-9.19,-75.0152,32971846,259423,PER
Philippines,7/25/20,78412,1897,12.879721,121.774017,109581085,25752,PHL
Poland,7/25/20,42622,1664,51.9194,19.1451,37846605,32419,POL
Portugal,7/25/20,49955,1716,39.3999,-8.2245,10196707,35010,PRT
Qatar,7/25/20,109036,164,25.3548,51.1839,2881060,105750,QAT
Honduras,7/25/20,38438,1098,15.2,-86.2419,9904608,4713,HND
Hungary,7/25/20,4424,596,47.1625,19.5033,9660350,3324,HUN
Iceland,7/25/20,1843,10,64.9631,-19.0208,341250,1823,ISL
India,7/25/20,1385635,32060,20.593684,78.96288,1380004385,885573,IND
Indonesia,7/25/20,97286,4714,-0.7893,113.9213,273523621,55354,IDN
Iran,7/25/20,288839,15484,32.427908,53.688046,83992953,251319,IRN
Iraq,7/25/20,107573,4284,33.223191,43.679291,40222503,73317,IRQ
Ireland,7/25/20,25869,1764,53.1424,-7.6921,4937796,23364,IRL
Israel,7/25/20,60678,457,31.046051,34.851612,8655541,26917,ISR
Italy,7/25/20,245864,35102,41.87194,12.56738,60461828,198320,ITA
Jamaica,7/25/20,837,10,18.1096,-77.2975,2961161,711,JAM
Japan,7/25/20,29684,996,36.204824,138.252924,126476458,21464,JPN
Jordan,7/25/20,1154,11,31.24,36.51,10203140,1036,JOR
Kazakhstan,7/25/20,81720,585,48.0196,66.9237,18776707,51823,KAZ
Kenya,7/25/20,16643,278,-0.0236,37.9062,53771300,7574,KEN
Bahrain,7/25/20,38747,137,26.0275,50.55,1701583,35205,BHR
Bangladesh,7/25/20,221178,2874,23.685,90.3563,164689383,122090,BGD
Barbados,7/25/20,108,7,13.1939,-59.5432,287371,94,BRB
Belarus,7/25/20,67002,530,53.7098,27.9534,9449321,60092,BLR
Belgium,7/25/20,65727,9821,50.8333,4.469936,11589616,17425,BEL
Benin,7/25/20,1694,34,9.3077,2.3158,12123198,918,BEN
Bhutan,7/25/20,92,0,27.5142,90.4336,771612,85,BTN
Bolivia,7/25/20,68281,2535,-16.2902,-63.5887,11673029,20951,BOL
Bosnia and Herzegovina,7/25/20,9767,280,43.9159,17.6791,3280815,4555,BIH
Brazil,7/25/20,2394513,86449,-14.235,-51.9253,212559409,1785359,BRA
Brunei,7/25/20,141,3,4.5353,114.7277,437483,138,BRN
Bulgaria,7/25/20,10312,338,42.7339,25.4858,6948445,5306,BGR
Burkina Faso,7/25/20,1086,53,12.2383,-1.5616,20903278,920,BFA
Cabo Verde,7/25/20,2258,22,16.5388,-23.0418,555988,1363,CPV
Romania,7/25/20,43678,2165,45.9432,24.9668,19237682,25373,ROU
Russia,7/25/20,805332,13172,61.52401,105.318756,145934460,596064,RUS
Rwanda,7/25/20,1752,5,-1.9403,29.8739,12952209,907,RWA
Saint Lucia,7/25/20,24,0,13.9094,-60.9789,183629,22,LCA
